date,type,amount,balance
1993-05-12,income,500.0,500.0
1993-05-14,income,21959.0,22459.0
1993-05-31,income,51.3,22510.3
1993-05-31,income,54.3,22564.6
1993-06-11,income,2100.0,24664.6
1993-06-14,income,32938.0,57602.6
1993-06-30,income,127.9,57907.0
1993-06-30,income,176.4,57779.1
1993-07-11,expense,15200.0,42707.0
1993-07-14,income,21959.0,64666.0
1993-07-31,income,147.3,64813.3
1993-07-31,income,256.6,65069.9
1993-08-10,expense,21600.0,43469.9
1993-08-14,income,21959.0,65428.9
1993-08-31,income,148.8,65577.6
1993-08-31,income,270.2,65847.8
1993-09-09,expense,22000.0,43847.8
1993-09-14,income,21959.0,65806.8
1993-09-30,income,145.2,66223.8
1993-09-30,income,271.8,66078.6
1993-09-30,expense,14.6,66209.2
1993-10-05,expense,413.0,65796.2
1993-10-09,expense,18700.0,47096.2
1993-10-10,expense,2163.0,44933.2
1993-10-12,expense,3659.8,41273.4
1993-10-12,expense,1915.0,39358.4
1993-10-13,expense,646.0,38712.4
1993-10-14,income,21959.0,60671.4
1993-10-16,other,20807.0,39864.4
1993-10-31,income,123.7,40187.6
1993-10-31,income,199.6,40063.9
1993-10-31,expense,14.6,40173.0
1993-11-05,expense,413.0,39760.0
1993-11-08,expense,7000.0,32760.0
1993-11-10,expense,2163.0,30597.0
1993-11-12,expense,3659.8,26937.2
1993-11-12,expense,1915.0,25022.2
1993-11-13,expense,646.0,24376.2
1993-11-14,income,21959.0,46335.2
1993-11-17,other,15977.0,30358.2
1993-11-30,income,96.3,30593.5
1993-11-30,income,139.0,30497.2
1993-11-30,expense,14.6,30578.9
1993-12-05,expense,413.0,30165.9
1993-12-08,expense,5400.0,25365.9
1993-12-08,income,600.0,30765.9
1993-12-10,expense,2163.0,23202.9
1993-12-12,expense,3659.8,17628.0
1993-12-12,expense,1915.0,21287.9
1993-12-13,expense,646.0,16982.0
1993-12-14,income,32938.0,49920.0
1993-12-23,other,10912.0,39008.0
1993-12-31,income,123.0,39131.1
1993-12-31,income,151.0,39282.1
1993-12-31,expense,14.6,39267.5
1994-01-05,expense,413.0,38854.5
1994-01-07,expense,8400.0,30454.5
1994-01-09,expense,5100.0,25354.5
1994-01-10,expense,2163.0,23191.5
1994-01-12,expense,3659.8,17616.6
1994-01-12,expense,1915.0,21276.5
1994-01-13,expense,646.0,16970.6
1994-01-14,income,21959.0,38929.6
1994-01-29,expense,4200.0,34729.6
1994-01-31,income,142.6,34872.2
1994-01-31,income,142.8,35015.0
1994-01-31,expense,14.6,35000.4
1994-02-05,expense,413.0,34587.4
1994-02-06,expense,2700.0,31887.4
1994-02-10,expense,2163.0,29724.4
1994-02-12,expense,1915.0,24149.5
1994-02-12,expense,3659.8,26064.5
1994-02-13,expense,646.0,23503.5
1994-02-14,income,21959.0,45462.5
1994-02-28,income,151.7,45772.5
1994-02-28,income,158.3,45620.8
1994-02-28,expense,14.6,45757.9
1994-03-05,expense,413.0,45344.9
1994-03-08,expense,11500.0,33844.9
1994-03-10,expense,2163.0,31681.9
1994-03-12,expense,3659.8,26107.1
1994-03-12,expense,1915.0,29766.9
1994-03-13,expense,646.0,25461.1
1994-03-14,income,21959.0,47420.1
1994-03-31,income,129.2,47549.2
1994-03-31,income,177.0,47726.2
1994-03-31,expense,14.6,47711.6
1994-04-05,expense,413.0,47298.6
1994-04-07,expense,12200.0,35098.6
1994-04-10,expense,2163.0,32935.6
1994-04-12,expense,3659.8,29275.7
1994-04-12,expense,1915.0,27360.7
1994-04-13,expense,646.0,26714.7
1994-04-14,income,21959.0,48673.7
1994-04-23,other,23513.0,25160.7
1994-04-30,income,112.5,25273.3
1994-04-30,income,153.9,25427.2
1994-04-30,expense,14.6,25412.6
1994-05-05,expense,413.0,24999.6
1994-05-07,income,3500.0,28499.6
1994-05-10,expense,2163.0,26336.6
1994-05-12,expense,3659.8,22676.7
1994-05-12,expense,1915.0,20761.7
1994-05-13,expense,646.0,20115.7
1994-05-14,income,21959.0,42074.7
1994-05-31,income,120.9,42195.7
1994-05-31,income,140.2,42335.8
1994-05-31,expense,14.6,42321.2
1994-06-05,expense,413.0,41908.2
1994-06-06,expense,8100.0,33808.2
1994-06-10,expense,2163.0,31645.2
1994-06-12,expense,1915.0,29730.2
1994-06-12,expense,3659.8,26070.4
1994-06-13,expense,646.0,25424.4
1994-06-14,income,32938.0,58362.4
1994-06-30,income,195.2,58557.6
1994-06-30,income,194.9,58752.5
1994-06-30,expense,14.6,58737.9
1994-07-05,expense,413.0,58324.9
1994-07-06,expense,17400.0,40924.9
1994-07-10,expense,2163.0,38761.9
1994-07-12,expense,3659.8,33187.1
1994-07-12,expense,1915.0,36846.9
1994-07-13,expense,646.0,32541.1
1994-07-14,income,21959.0,54500.1
1994-07-31,income,204.8,54704.8
1994-07-31,income,204.8,54909.6
1994-07-31,expense,14.6,54895.0
1994-08-05,expense,413.0,54482.0
1994-08-05,expense,12600.0,41882.0
1994-08-10,expense,2163.0,39719.0
1994-08-11,expense,4500.0,35219.0
1994-08-12,expense,1915.0,29644.2
1994-08-12,expense,3659.8,31559.2
1994-08-13,expense,646.0,28998.2
1994-08-14,income,21959.0,50957.2
1994-08-31,income,188.3,51334.5
1994-08-31,income,189.1,51146.2
1994-08-31,expense,14.6,51319.9
1994-08-31,expense,13800.0,37519.9
1994-09-04,expense,4700.0,32819.9
1994-09-05,expense,413.0,32406.9
1994-09-10,expense,2163.0,30243.9
1994-09-10,expense,7500.0,22743.9
1994-09-12,expense,3659.8,17169.1
1994-09-12,expense,1915.0,20828.9
1994-09-13,expense,646.0,16523.1
1994-09-14,income,21959.0,38482.1
1994-09-28,other,15984.0,22498.1
1994-09-30,income,131.1,22629.2
1994-09-30,income,131.6,22760.7
1994-09-30,expense,14.6,22746.1
1994-10-04,income,4800.0,27546.1
1994-10-05,expense,413.0,27133.1
1994-10-10,expense,2163.0,24970.1
1994-10-12,expense,3659.8,19395.3
1994-10-12,expense,1915.0,23055.1
1994-10-13,expense,646.0,18749.3
1994-10-14,income,21959.0,40708.3
1994-10-31,income,126.0,40965.4
1994-10-31,income,131.1,40839.4
1994-10-31,expense,14.6,40950.8
1994-11-03,expense,5000.0,35950.8
1994-11-05,expense,413.0,35537.8
1994-11-10,expense,2163.0,33374.8
1994-11-12,expense,1915.0,31459.8
1994-11-12,expense,3659.8,27799.9
1994-11-13,expense,646.0,27153.9
1994-11-14,income,21959.0,49112.9
1994-11-30,income,141.8,49424.2
1994-11-30,income,169.6,49282.5
1994-11-30,expense,14.6,49409.6
1994-12-03,expense,9600.0,39809.6
1994-12-05,expense,413.0,39396.6
1994-12-10,expense,5400.0,33996.6
1994-12-10,expense,2163.0,31833.6
1994-12-12,expense,1915.0,29918.6
1994-12-12,expense,3659.8,26258.8
1994-12-13,expense,646.0,25612.8
1994-12-14,income,32938.0,58550.8
1994-12-31,income,173.8,58724.6
1994-12-31,income,200.6,58925.1
1994-12-31,expense,14.6,58910.5
1995-01-02,expense,17700.0,41210.5
1995-01-05,expense,413.0,40797.5
1995-01-10,expense,2163.0,38634.5
1995-01-12,expense,1915.0,36719.5
1995-01-12,expense,3659.8,33059.7
1995-01-13,expense,646.0,32413.7
1995-01-14,income,21959.0,54372.7
1995-01-21,expense,12900.0,41472.7
1995-01-24,expense,2400.0,39072.7
1995-01-31,income,176.0,39425.2
1995-01-31,income,176.5,39249.2
1995-01-31,expense,14.6,39410.6
1995-02-01,expense,5700.0,33710.6
1995-02-05,expense,413.0,33297.6
1995-02-10,expense,2163.0,31134.6
1995-02-12,expense,3659.8,27474.7
1995-02-12,expense,1915.0,25559.7
1995-02-13,expense,646.0,24913.7
1995-02-14,income,21959.0,46872.7
1995-02-28,income,157.0,47186.6
1995-02-28,income,157.0,47029.7
1995-02-28,expense,14.6,47172.0
1995-03-03,expense,12400.0,34772.0
1995-03-05,expense,413.0,34359.0
1995-03-10,expense,2163.0,32196.0
1995-03-12,expense,3659.8,28536.2
1995-03-12,expense,1915.0,26621.2
1995-03-13,expense,646.0,25975.2
1995-03-14,income,21959.0,47934.2
1995-03-31,income,160.9,48261.6
1995-03-31,income,166.5,48100.7
1995-03-31,expense,14.6,48247.0
1995-04-02,expense,11400.0,36847.0
1995-04-05,expense,413.0,36434.0
1995-04-10,expense,2163.0,34271.0
1995-04-12,expense,1915.0,28696.2
1995-04-12,expense,3659.8,30611.2
1995-04-13,expense,646.0,28050.2
1995-04-14,income,21959.0,50009.2
1995-04-30,income,142.3,50151.5
1995-04-30,income,173.2,50324.6
1995-04-30,expense,14.6,50310.0
1995-05-02,expense,10200.0,40110.0
1995-05-05,expense,413.0,39697.0
1995-05-10,expense,2163.0,37534.0
1995-05-12,expense,3659.8,31959.2
1995-05-12,expense,1915.0,35619.0
1995-05-13,expense,646.0,31313.2
1995-05-14,income,21959.0,53272.2
1995-05-14,other,11222.0,42050.2
1995-05-31,income,159.8,42210.0
1995-05-31,income,184.9,42394.8
1995-05-31,expense,14.6,42380.2
1995-06-01,expense,9600.0,32780.2
1995-06-05,expense,413.0,32367.2
1995-06-10,expense,2163.0,30204.2
1995-06-12,expense,1915.0,24629.4
1995-06-12,expense,3659.8,26544.4
1995-06-13,expense,646.0,23983.4
1995-06-14,income,32938.0,56921.4
1995-06-22,expense,1800.0,55121.4
1995-06-25,expense,25500.0,29621.4
1995-06-30,income,153.0,29774.4
1995-06-30,income,156.1,29930.6
1995-06-30,expense,14.6,29916.0
1995-07-01,expense,2300.0,27616.0
1995-07-05,expense,413.0,27203.0
1995-07-10,expense,2163.0,25040.0
1995-07-12,expense,3659.8,19465.1
1995-07-12,expense,1915.0,23125.0
1995-07-13,expense,646.0,18819.1
1995-07-14,income,21959.0,40778.1
1995-07-19,expense,7500.0,33278.1
1995-07-31,income,97.5,33375.7
1995-07-31,income,115.3,33491.0
1995-07-31,expense,900.0,32576.4
1995-07-31,expense,14.6,33476.4
1995-08-05,expense,413.0,32163.4
1995-08-10,expense,2163.0,30000.4
1995-08-12,expense,1915.0,28085.4
1995-08-12,expense,3659.8,24425.5
1995-08-13,expense,646.0,23779.5
1995-08-14,income,21959.0,45738.5
1995-08-18,other,5383.0,40355.5
1995-08-30,expense,6800.0,33555.5
1995-08-31,income,100.0,33789.9
1995-08-31,income,134.4,33690.0
1995-08-31,expense,8400.0,25375.3
1995-08-31,expense,14.6,33775.3
1995-09-05,expense,413.0,24962.3
1995-09-10,expense,2163.0,22799.3
1995-09-12,expense,3659.8,19139.5
1995-09-12,expense,1915.0,17224.5
1995-09-13,expense,646.0,16578.5
1995-09-14,income,21959.0,38537.5
1995-09-29,expense,8400.0,30137.5
1995-09-30,income,110.5,30247.9
1995-09-30,income,114.1,30362.0
1995-09-30,expense,14.6,30347.4
1995-10-05,expense,413.0,29934.4
1995-10-10,expense,2163.0,27771.4
1995-10-12,expense,1915.0,25856.4
1995-10-13,expense,646.0,25210.4
1995-10-14,income,21959.0,47169.4
1995-10-21,expense,4000.0,43169.4
1995-10-29,expense,8100.0,35069.4
1995-10-31,income,106.4,35313.6
1995-10-31,income,137.8,35207.2
1995-10-31,expense,14.6,35299.0
1995-11-05,expense,413.0,34886.0
1995-11-10,expense,2163.0,32723.0
1995-11-11,expense,3100.0,29623.0
1995-11-12,expense,1915.0,27708.0
1995-11-13,expense,646.0,27062.0
1995-11-14,income,21959.0,49021.0
1995-11-28,expense,10500.0,38521.0
1995-11-30,income,148.3,38669.4
1995-11-30,income,153.1,38822.4
1995-11-30,expense,14.6,38807.8
1995-12-02,expense,4000.0,34807.8
1995-12-05,expense,413.0,34394.8
1995-12-10,expense,2400.0,29831.8
1995-12-10,expense,2163.0,32231.8
1995-12-12,expense,1915.0,27916.8
1995-12-13,expense,646.0,27270.8
1995-12-14,income,32938.0,60208.8
1995-12-28,expense,17700.0,42508.8
1995-12-31,income,158.5,42844.1
1995-12-31,income,176.8,42685.7
1995-12-31,expense,14.6,42829.5
1996-01-05,expense,413.0,42416.5
1996-01-07,expense,3800.0,38616.5
1996-01-10,expense,2163.0,36453.5
1996-01-12,expense,1915.0,34538.5
1996-01-13,expense,646.0,33892.5
1996-01-14,income,21959.0,55851.5
1996-01-15,expense,20400.0,35451.5
1996-01-17,expense,6600.0,28851.5
1996-01-27,expense,2100.0,26751.5
1996-01-31,income,119.8,26994.1
1996-01-31,income,122.8,26874.3
1996-01-31,expense,14.6,26979.5
1996-02-05,expense,413.0,26566.5
1996-02-10,expense,2163.0,24403.5
1996-02-12,expense,3800.0,20603.5
1996-02-12,expense,1915.0,18688.5
1996-02-13,expense,646.0,18042.5
1996-02-14,income,21959.0,40001.5
1996-02-24,other,13894.0,26107.5
1996-02-26,expense,2200.0,23907.5
1996-02-29,income,76.7,23984.3
1996-02-29,income,105.2,24089.5
1996-02-29,expense,14.6,24074.9
1996-03-05,expense,413.0,23661.9
1996-03-10,expense,3900.0,19761.9
1996-03-10,expense,2163.0,17598.9
1996-03-12,expense,1915.0,15683.9
1996-03-13,expense,646.0,15037.9
1996-03-14,income,21959.0,36996.9
1996-03-27,expense,8100.0,28896.9
1996-03-31,income,101.0,28997.8
1996-03-31,income,101.5,29099.3
1996-03-31,expense,14.6,29084.7
1996-04-05,expense,413.0,28671.7
1996-04-08,expense,4000.0,24671.7
1996-04-10,expense,2163.0,22508.7
1996-04-12,expense,1915.0,20593.7
1996-04-13,expense,646.0,19947.7
1996-04-14,income,21959.0,41906.7
1996-04-17,expense,14100.0,27806.7
1996-04-26,expense,4300.0,23506.7
1996-04-30,income,91.4,23598.2
1996-04-30,income,94.0,23692.1
1996-04-30,expense,14.6,23677.5
1996-05-05,expense,413.0,23264.5
1996-05-10,expense,2163.0,21101.5
1996-05-12,expense,1915.0,19186.5
1996-05-13,expense,646.0,18540.5
1996-05-14,income,21959.0,40499.5
1996-05-17,expense,4400.0,36099.5
1996-05-26,expense,12700.0,23399.5
1996-05-31,income,74.0,23473.5
1996-05-31,income,96.2,23569.7
1996-05-31,expense,14.6,23555.1
1996-06-05,expense,413.0,23142.1
1996-06-10,expense,2163.0,20979.1
1996-06-12,expense,1915.0,19064.1
1996-06-13,expense,646.0,18418.1
1996-06-14,income,32938.0,51356.1
1996-06-17,expense,4200.0,47156.1
1996-06-25,expense,12700.0,20356.1
1996-06-25,expense,14100.0,33056.1
1996-06-30,income,116.5,20581.4
1996-06-30,income,108.8,20464.9
1996-06-30,expense,14.6,20566.8
1996-07-05,expense,413.0,20153.8
1996-07-08,expense,4100.0,16053.8
1996-07-10,expense,2163.0,13890.8
1996-07-12,expense,1915.0,11975.8
1996-07-13,expense,646.0,11329.8
1996-07-14,income,21959.0,33288.8
1996-07-17,expense,2100.0,31188.8
1996-07-25,expense,12700.0,18488.8
1996-07-31,income,57.7,18618.5
1996-07-31,income,71.9,18560.7
1996-07-31,expense,14.6,18603.9
1996-08-05,expense,413.0,18190.9
1996-08-10,expense,2163.0,16027.9
1996-08-12,expense,1915.0,14112.9
1996-08-13,expense,646.0,13466.9
1996-08-14,income,21959.0,35425.9
1996-08-21,expense,3600.0,31825.9
1996-08-24,expense,12600.0,19225.9
1996-08-31,income,72.3,19298.1
1996-08-31,income,74.1,19372.2
1996-08-31,expense,14.6,19357.6
1996-09-05,expense,413.0,15544.6
1996-09-05,expense,3400.0,15957.6
1996-09-10,expense,2163.0,13381.6
1996-09-12,expense,1915.0,11466.6
1996-09-13,expense,646.0,10820.6
1996-09-14,income,21959.0,32779.6
1996-09-23,expense,14500.0,18279.6
1996-09-30,income,60.8,18408.7
1996-09-30,income,68.4,18348.0
1996-09-30,expense,14.6,18394.1
1996-10-05,expense,413.0,17981.1
1996-10-08,expense,2900.0,15081.1
1996-10-10,expense,2163.0,12918.1
1996-10-12,expense,1915.0,11003.1
1996-10-13,expense,646.0,10357.1
1996-10-14,income,21959.0,32316.1
1996-10-23,expense,13200.0,19116.1
1996-10-31,income,66.0,19248.1
1996-10-31,income,66.0,19182.1
1996-10-31,expense,14.6,19233.5
1996-11-05,expense,413.0,18820.5
1996-11-10,expense,2163.0,16657.5
1996-11-11,expense,3100.0,13557.5
1996-11-12,expense,1915.0,11642.5
1996-11-13,expense,646.0,10996.5
1996-11-14,income,21959.0,32955.5
1996-11-22,expense,10500.0,22455.5
1996-11-30,income,71.8,22527.3
1996-11-30,income,71.8,22599.1
1996-11-30,expense,14.6,22584.5
1996-12-05,expense,413.0,22171.5
1996-12-10,expense,2163.0,20008.5
1996-12-12,expense,3600.0,16408.5
1996-12-12,expense,1915.0,14493.5
1996-12-13,expense,646.0,13847.5
1996-12-14,income,32938.0,46785.5
1996-12-22,expense,17600.0,29185.5
1996-12-31,income,98.3,29385.1
1996-12-31,income,101.4,29286.9
1996-12-31,expense,14.6,29370.5
1997-01-05,expense,413.0,28957.5
1997-01-08,expense,3900.0,25057.5
1997-01-10,expense,2163.0,22894.5
1997-01-12,expense,1915.0,20979.5
1997-01-13,expense,646.0,20333.5
1997-01-14,income,21959.0,42292.5
1997-01-21,expense,18900.0,23392.5
1997-01-31,income,73.4,23561.2
1997-01-31,income,95.3,23487.8
1997-01-31,expense,14.6,23546.6
1997-02-05,expense,413.0,23133.6
1997-02-10,expense,2163.0,20970.6
1997-02-12,expense,4200.0,14855.6
1997-02-12,expense,1915.0,19055.6
1997-02-13,expense,646.0,14209.6
1997-02-14,income,21959.0,36168.6
1997-02-20,expense,17200.0,18968.6
1997-02-28,income,74.9,19118.4
1997-02-28,income,74.9,19043.5
1997-02-28,expense,14.6,19103.8
1997-03-02,expense,4400.0,14703.8
1997-03-05,expense,413.0,14290.8
1997-03-10,expense,2163.0,12127.8
1997-03-12,expense,1915.0,10212.8
1997-03-13,expense,646.0,9566.8
1997-03-14,income,21959.0,31525.8
1997-03-31,income,76.2,31678.1
1997-03-31,income,76.2,31601.9
1997-03-31,expense,14.6,31663.5
1997-04-05,expense,413.0,31250.5
1997-04-10,expense,2163.0,29087.5
1997-04-12,expense,1915.0,27172.5
1997-04-13,expense,646.0,26526.5
1997-04-14,income,21959.0,48485.5
1997-04-17,expense,3200.0,45285.5
1997-04-21,expense,22900.0,22385.5
1997-04-30,income,103.1,22488.5
1997-04-30,income,105.3,22593.8
1997-04-30,expense,14.6,22579.2
1997-05-05,expense,413.0,22166.2
1997-05-09,expense,2900.0,19266.2
1997-05-10,expense,2163.0,17103.2
1997-05-12,expense,1915.0,15188.2
1997-05-13,expense,646.0,14542.2
1997-05-14,income,21959.0,36501.2
1997-05-31,income,75.6,36673.8
1997-05-31,income,97.0,36598.2
1997-05-31,expense,14.6,36659.2
1997-06-05,expense,413.0,36246.2
1997-06-10,expense,2163.0,34083.2
1997-06-12,expense,1915.0,32168.2
1997-06-13,expense,646.0,31522.2
1997-06-14,income,32938.0,64460.2
1997-06-20,expense,29400.0,35060.2
1997-06-21,expense,3900.0,31160.2
1997-06-30,income,101.2,31400.2
1997-06-30,income,138.8,31299.0
1997-06-30,expense,14.6,31385.6
1997-07-05,expense,413.0,30972.6
1997-07-10,expense,2163.0,28809.6
1997-07-12,expense,1915.0,26894.6
1997-07-13,expense,646.0,22348.6
1997-07-13,expense,3900.0,22994.6
1997-07-14,income,21959.0,44307.6
1997-07-20,expense,19400.0,24907.6
1997-07-31,income,100.5,25008.1
1997-07-31,income,101.1,25109.2
1997-07-31,expense,14.6,25094.6
1997-08-05,expense,413.0,24681.6
1997-08-10,expense,2163.0,22518.6
1997-08-12,expense,1915.0,20603.6
1997-08-13,expense,646.0,19957.6
1997-08-14,income,21959.0,41916.6
1997-08-17,expense,4000.0,37916.6
1997-08-19,expense,16600.0,21316.6
1997-08-31,income,78.0,21472.6
1997-08-31,income,78.0,21394.6
1997-08-31,expense,14.6,21458.0
1997-09-05,expense,413.0,21045.0
1997-09-10,expense,2163.0,18882.0
1997-09-12,expense,1915.0,16967.0
1997-09-13,expense,646.0,16321.0
1997-09-14,income,21959.0,38280.0
1997-09-18,expense,13300.0,24980.0
1997-09-21,expense,2800.0,22180.0
1997-09-30,income,68.4,22319.0
1997-09-30,income,70.6,22250.6
1997-09-30,expense,14.6,22304.4
1997-10-02,expense,4400.0,17904.4
1997-10-05,expense,413.0,17491.4
1997-10-10,expense,2163.0,15328.4
1997-10-12,expense,1915.0,13413.4
1997-10-13,expense,646.0,12767.4
1997-10-14,income,21959.0,34726.4
1997-10-18,expense,11900.0,22826.4
1997-10-31,income,55.8,22882.2
1997-10-31,income,64.0,22946.2
1997-10-31,expense,14.6,22931.6
1997-11-05,expense,413.0,22518.6
1997-11-10,expense,2163.0,20355.6
1997-11-12,expense,1915.0,18440.6
1997-11-13,expense,3800.0,14640.6
1997-11-13,expense,646.0,13994.6
1997-11-14,income,21959.0,35953.6
1997-11-17,expense,13700.0,22253.6
1997-11-17,expense,3000.0,19253.6
1997-11-30,income,61.9,19377.5
1997-11-30,income,61.9,19315.5
1997-11-30,expense,14.6,19362.9
1997-12-05,expense,413.0,18949.9
1997-12-10,expense,2163.0,16786.9
1997-12-12,expense,1915.0,14871.9
1997-12-13,expense,646.0,14225.9
1997-12-14,income,32938.0,47163.9
1997-12-17,expense,22700.0,24463.9
1997-12-19,expense,3900.0,20563.9
1997-12-31,income,63.7,20627.6
1997-12-31,income,63.7,20691.3
1997-12-31,expense,14.6,20676.7
1998-01-02,expense,3600.0,17076.7
1998-01-05,expense,413.0,16663.7
1998-01-10,expense,2163.0,14500.7
1998-01-12,expense,1915.0,12585.7
1998-01-13,expense,646.0,11939.7
1998-01-14,income,21959.0,33898.7
1998-01-28,expense,3600.0,30298.7
1998-01-31,income,79.6,30457.9
1998-01-31,income,79.6,30378.3
1998-01-31,expense,14.6,30443.3
1998-02-05,expense,413.0,30030.3
1998-02-10,expense,2163.0,27867.3
1998-02-10,expense,3100.0,24767.3
1998-02-12,expense,1915.0,22852.3
1998-02-13,expense,646.0,22206.3
1998-02-14,income,21959.0,44165.3
1998-02-15,expense,23300.0,20865.3
1998-02-28,income,74.5,20939.8
1998-02-28,income,74.5,21014.4
1998-02-28,expense,14.6,20999.8
1998-03-05,expense,413.0,20586.8
1998-03-10,expense,2163.0,18423.8
1998-03-12,expense,1915.0,16508.8
1998-03-13,expense,646.0,15862.8
1998-03-14,income,21959.0,37821.8
1998-03-20,expense,3700.0,34121.8
1998-03-26,expense,2700.0,31421.8
1998-03-31,income,87.3,31596.4
1998-03-31,income,87.3,31509.1
1998-03-31,expense,14.6,31581.8
1998-04-05,expense,413.0,31168.8
1998-04-10,expense,2163.0,29005.8
1998-04-12,expense,1915.0,27090.8
1998-04-13,expense,646.0,26444.8
1998-04-14,income,21959.0,48403.8
1998-04-15,expense,3600.0,44803.8
1998-04-16,expense,21200.0,23603.8
1998-04-30,income,83.6,23773.2
1998-04-30,income,85.9,23689.6
1998-04-30,expense,14.6,23758.6
1998-05-02,expense,3500.0,20258.6
1998-05-05,expense,413.0,19845.6
1998-05-10,expense,2163.0,17682.6
1998-05-12,expense,1915.0,15767.6
1998-05-13,expense,646.0,15121.6
1998-05-14,income,21959.0,37080.6
1998-05-16,expense,13800.0,23280.6
1998-05-31,income,52.6,23396.6
1998-05-31,income,63.4,23344.0
1998-05-31,expense,14.6,23382.0
1998-06-05,expense,413.0,22969.0
1998-06-10,expense,2163.0,20806.0
1998-06-12,expense,4100.0,16706.0
1998-06-12,expense,1915.0,14791.0
1998-06-13,expense,646.0,14145.0
1998-06-14,income,32938.0,47083.0
1998-06-15,expense,18300.0,28783.0
1998-06-30,income,55.6,28838.5
1998-06-30,income,78.1,28916.6
1998-06-30,expense,14.6,28902.0
1998-07-05,expense,413.0,28489.0
1998-07-07,expense,4200.0,24289.0
1998-07-10,expense,2163.0,22126.0
1998-07-12,expense,1915.0,20211.0
1998-07-13,expense,646.0,19565.0
1998-07-14,income,21959.0,41524.0
1998-07-15,expense,17900.0,23624.0
1998-07-31,income,54.6,23750.3
1998-07-31,income,71.7,23695.7
1998-07-31,expense,14.6,23735.7
1998-08-05,expense,413.0,23322.7
1998-08-10,expense,2163.0,21159.7
1998-08-12,expense,1915.0,19244.7
1998-08-13,expense,646.0,18598.7
1998-08-14,income,21959.0,40557.7
1998-08-14,expense,17400.0,23157.7
1998-08-21,expense,3700.0,19457.7
1998-08-31,income,73.8,19531.5
1998-08-31,income,73.8,19605.3
1998-08-31,expense,14.6,19590.7
1998-09-05,expense,413.0,19177.7
1998-09-10,expense,2163.0,17014.7
1998-09-12,expense,1915.0,15099.7
1998-09-13,expense,646.0,10853.7
1998-09-13,expense,3600.0,11499.7
1998-09-14,income,21959.0,32812.7
1998-09-30,income,77.2,32967.2
1998-09-30,income,77.2,32890.0
1998-09-30,expense,14.6,32952.6
1998-10-02,expense,2700.0,30252.6
1998-10-05,expense,413.0,29839.6
1998-10-10,expense,2163.0,27676.6
1998-10-12,expense,1915.0,25761.6
1998-10-13,expense,646.0,25115.6
1998-10-14,income,21959.0,47074.6
1998-10-31,income,127.2,47201.8
1998-10-31,income,132.5,47334.3
1998-10-31,expense,14.6,47319.7
1998-11-05,expense,413.0,46906.7
1998-11-10,expense,2163.0,44743.7
1998-11-12,expense,16700.0,28043.7
1998-11-12,expense,1915.0,26128.7
1998-11-13,expense,646.0,25482.7
1998-11-14,income,21959.0,47441.7
1998-11-19,expense,3700.0,43741.7
1998-11-30,income,101.6,43994.1
1998-11-30,income,150.8,43892.5
1998-11-30,expense,14.6,43979.5
1998-12-02,expense,3600.0,40379.5
1998-12-05,expense,413.0,39966.5
1998-12-10,expense,2163.0,37803.5
1998-12-12,expense,1915.0,35888.5
1998-12-13,expense,646.0,35242.5
1998-12-14,income,32938.0,68180.5
